2010-01-07 16:21:27 Debug: Notice (8): Undefined property: VariationsController::$Mineral in [APP\controllers\variations_controller.php, line 51]
2010-01-07 16:21:27 Debug: Notice (8): Trying to get property of non-object in [APP\controllers\variations_controller.php, line 51]
2010-01-09 14:38:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\view\helper.php, line 330]
2010-01-09 14:38:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\view\helpers\form.php, line 448]
2010-01-09 14:38:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\view\helpers\form.php, line 453]
2010-01-09 14:38:53 Debug: Notice (8): Array to string conversion in [CORE\cake\libs\inflector.php, line 428]
2010-01-10 20:15:19 Debug: Notice (8): Undefined index:  id in [APP\views\attachments\admin_edit.ctp, line 27]
2010-01-10 20:15:19 Debug: Notice (8): Undefined index:  name_gr in [APP\views\attachments\admin_edit.ctp, line 28]
2010-01-10 20:15:19 Debug: Notice (8): Undefined index:  name_eng in [APP\views\attachments\admin_edit.ctp, line 29]
2010-01-10 20:15:19 Debug: Notice (8): Undefined index:  new_code in [APP\views\attachments\admin_edit.ctp, line 30]
2010-01-10 20:51:40 Debug: Notice (8): Undefined variable: sample in [APP\views\attachments\admin_edit.ctp, line 16]
2010-01-10 20:54:19 Debug: Notice (8): Undefined variable: sample in [APP\views\attachments\admin_edit.ctp, line 16]
2010-01-11 09:28:09 Debug: Notice (8): Undefined index:  path in [APP\views\attachments\admin_edit.ctp, line 16]
2010-01-12 14:34:40 Debug: Notice (8): Undefined index:  file in [APP\controllers\attachments_controller.php, line 123]
2010-01-12 14:34:54 Debug: Notice (8): Undefined index:  file in [APP\controllers\attachments_controller.php, line 123]
2010-01-12 14:37:05 Debug: Notice (8): Undefined variable: sample_id in [APP\controllers\attachments_controller.php, line 155]
2010-01-12 14:56:43 Debug: Notice (8): Undefined index:  file in [APP\controllers\attachments_controller.php, line 116]
2010-01-12 14:58:45 Debug: Notice (8): Undefined index:  file in [APP\controllers\attachments_controller.php, line 116]
2010-01-15 12:10:43 Debug: Notice (8): Undefined variable: validate_edit in [APP\controllers\users_controller.php, line 62]
2010-01-15 23:09:48 Debug: Notice (8): Undefined offset:  0 in [APP\views\samples\display_case.ctp, line 8]
2010-01-15 23:11:05 Debug: Notice (8): Undefined offset:  0 in [APP\views\samples\display_case.ctp, line 8]
2010-01-15 23:12:22 Debug: Notice (8): Undefined offset:  0 in [APP\views\samples\display_case.ctp, line 8]
2010-01-15 23:34:58 Debug: Notice (8): Undefined offset:  0 in [APP\views\samples\display_case.ctp, line 18]
2010-01-23 15:19:53 Debug: Notice (8): Undefined property: MenuHelper::$viewpath in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:21:49 Debug: Notice (8): Undefined property: MenuHelper::$viewpath in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:42:21 Debug: Notice (8): Undefined variable: realurl in [APP\views\helpers\menu.php, line 29]
2010-01-23 15:42:21 Debug: Notice (8): Array to string conversion in [APP\views\helpers\menu.php, line 29]
2010-01-23 15:42:37 Debug: Notice (8): Undefined variable: realurl in [APP\views\helpers\menu.php, line 29]
2010-01-23 15:42:37 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:42:37 Debug: Notice (8): Array to string conversion in [APP\views\helpers\menu.php, line 29]
2010-01-23 15:44:01 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:44:37 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:44:47 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:46:56 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:46:56 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 31]
2010-01-23 15:47:01 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:47:01 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 31]
2010-01-23 15:47:05 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:47:05 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 31]
2010-01-23 15:49:45 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 30]
2010-01-23 15:49:45 Debug: Notice (8): Undefined offset:  1 in [APP\views\helpers\menu.php, line 31]
2010-01-23 16:18:50 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 36]
2010-01-23 16:19:21 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 36]
2010-01-23 16:19:23 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 36]
2010-01-23 16:19:27 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 36]
2010-01-25 11:17:37 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 33]
2010-01-25 11:17:37 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 38]
2010-01-25 11:45:28 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 38]
2010-01-25 11:45:38 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 38]
2010-01-25 11:45:42 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 38]
2010-01-25 11:45:45 Debug: Notice (8): Undefined variable: id in [APP\views\helpers\menu.php, line 38]
